property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
4 ac land for sale in Kilimani
","

Argwing Kodhek, Kilimani, Dagoretti North

","
4 ac
",-,-,"
4 ac land for Sale in Kilimani
",-,"
KSh 1,600,000,000
"
"
1 bedroom apartment for sale in Westlands Area
","

4Th Parklands Avenue, Westlands Area, Westlands

",-,"
1
","








1

","
PRIMO PARK 1 & 3 BED APARTMENTS IN PARKLANDS -...
",Primofort Investment,"
KSh 8,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Off kinadaruma road, Kilimani, Dagoretti North

","
120 m²
","
2
","








3

","
2 BEDROOMS APARTMENT FOR SALE IN KILIMANI
",Abode Realty,"
KSh 11,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kayahwe road, Kilimani, Dagoretti North

","
120 m²
","
3
","








2

","
3 BEDROOM APARTMENT FOR SALE IN KILIMANI
",Abode Realty,"
KSh 10,500,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma road, Kilimani, Dagoretti North

","
100 m²
","
2
","








2

","
2 bedroom apartment in kilimani
",Abode Realty,"
KSh 7,500,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Oloitoktok road, Kileleshwa, Dagoretti North
 
",-,"
1
","








2

","
1 BEDROOM APARTMENT FOR IN KILELESHWA
",Abode Realty,"
KSh 7,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








3

","
AFFORDABLE 3 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 9,250,000
"
"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

","
4300 ft²
","
5
","








5

","
5 Bedroom House in Karen
",Twinrocks Property Managers,"
KSh 350,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 7,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale in kilimani
",Sarabi Realty Group,"
KSh 4,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 9,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in kileleshwa
",Sarabi Realty Group,"
KSh 8,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 12,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 10,000,000
"
"
1 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 9,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
126 m²
","
3
","








3

","
3 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 10,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

KILELESHWA, KILELESHWA, Kileleshwa, Dagoretti North

","
100 m²
","
2
","








 2

","
AFFORDABLE 2 BEDROOM FOR SALE.
",Round The Clock Homes,"
KSh 6,990,000
"
