property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
4 ac land for sale in Kilimani
","

Argwings kodhek, Kilimani, Dagoretti North

","
4 ac
",-,-,"
4 ac land for sale in Kilimani
",-,"
KSh 1,600,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom + DSQ apartment for sale in Lavington
",Upper Deck Homes,"
KSh 19,000,000
"
"
4 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
4 bedroom plus sq apartment for sale in lavingt...
",Sarabi Realty Group,"
KSh 17,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

KILIMANI, KILIMANI, Kilimani, Dagoretti North

","
108 m²
","
2
","








2

","
MODERN AND AFFORDABLE 2 BEDROOM FOR SALE
",Round The Clock Homes,"
KSh 8,800,000
"
"
3 bedroom apartment for sale in Rhapta Road
","

Rhapta Road, Westlands

",-,"
3
","








4

","
Rhapta Road 3 bedroom apartment for sale at 16....
",Phillavilla,"
 KSh 16,500,000
"
"
3 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
3
","








3

","
Ngong Road 3 bedroom apartment for sale at 13.5...
",Phillavilla,"
KSh 13,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
Kileleshwa 2 bedroom all-ensuite for sale at 14...
",Phillavilla,"
KSh 14,500,000
"
"
4 bedroom townhouse for sale in Spring Valley
","

Spring Valley, Westlands

",-,"
4
","








5

","
Spring Valley 4 Bedroom Townhouse plus Dsq for...
",Phillavilla,"
KSh 90,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








2

","
Lavington 3 bedroom apartment for sale at 13 Mi...
",Phillavilla,"
KSh 13,000,000
"
"
2 bedroom apartment for sale in Naivasha Road
","

Naivasha Road, Dagoretti North

",-,"
2
","








2

","
Naivasha road 2 bedroom for sale at 6.95M
",Phillavilla,"
KSh 6,950,000
"
"
3 bedroom apartment for sale in Mountain View
","

Mountain View, Westlands

",-,"
3
 ","








2

","
Waiyaki Way 3 bedroom for sale at 10M
",Phillavilla,"
KSh 10,000,000
"
"
1 bedroom apartment for sale in Kiambu Road
","

Kitsuru (Mwimuto), Kiambu Road, Kiambu Road

",-,"
1
","








1

","
1 bedroom Apartment for Sale
",Edville Properties,"
KSh 2,500,000
"
"
2 bedroom apartment for sale in Mountain View
","

Mountain View, Westlands

",-,"
2
","








2

","
Mountain View 2 bedroom apartment for sale at 9...
",Phillavilla,"
KSh 9,000,000
"
"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
3
","








4

","
Westlands 3 bedroom apartment plus DSQ for sale...
",Phillavilla,"
KSh 24,000,000
"
"
3 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
3
","








3

","
Kiambu Road 3 Bedroom Townhouse plus Dsq for sa...
",Phillavilla,"
KSh 28,000,000
"
"
2 bedroom apartment for sale in Highrise
","

Highrise, Dagoretti South

",-,"
2
","








1

","
 Mbagathi Way 2 bedroom apartment for sale at 6....
",Phillavilla,"
KSh 6,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








2

","
Kileleshwa 3 bedroom apartment for sale at 14 M...
",Phillavilla,"
KSh 14,000,000
"
"
2 bedroom apartment for sale in Westlands Area
","

General Mathenge, Westlands Area, Westlands

",-,"
2
",-,"
GREENVILLE GARDENS –GENERAL MATHENGE
",Primofort Investment,"
KSh 12,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Northcote Apartments, Kilimani, Dagoretti North

","
558 m²
","
3
","








2

","
3 Bedroom Apartments With SQ for Sale at Nort...
",Crystal Valuers LTD,"
KSh 20,000,000
"
"
6 bedroom house for sale in Kitisuru
","

Kitisuru, Westlands

",-,"
6
","








6

","
A MAGNIFICENT RESIDENCE IN KITISURU
",Ricville Properties,"
KSh 150,000,000
"
"
1 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
1
","








1

","
Westlands 1 bedroom apartment for sale at 9.1Mi...
",Phillavilla,"
KSh 9,100,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
100 m²
","
2
","








2

","
2 BEDROOMS APARTMENT (READY FOR OCCUPATION) IN...
",Abode Realty,"
KSh 8,500,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 10,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








4

","
3 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 9,500,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 8,000,000
"
"
1 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
1
","








1

","
1 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 4,200,000
"
"
Furnished 4 bedroom apartment for sale in Southlands
","

sand valley, Southlands, Langata

","
1 ac
","
4
","








5

","
HOUSE FOR RENT FOR SALE IN LANAGAT
",UMATI HOMES LTD,"
KSh 100,000,000
"
"
1 bedroom apartment for sale in Garden Estate
","

Garden Estate, Roysambu

","
58 m²
","
2
","








2

","
Beautiful 1, 2, 3 Bedroom Apartments For Sale i...
",Azizi Realtors,"
KSh 12,000,000
"
"
4 bedroom house for sale in Loresho
 ","

Loresho, Westlands

",-,"
4
","








5

","
AN ARCHITECTURAL MASTERPIECE SITTING IN A PRIVA...
",Ricville Properties,"
KSh 105,000,000
"
"
Studio apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
0
","








1

","
Westlands Studio for Sale at 4.5Million
",Phillavilla,"
KSh 4,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
140 m²
","
2
","








2

","
2 Bedrooms apartment for sale
",Abode Realty,"
KSh 15,800,000
"
"
2 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

",-,"
2
","








3

","
2 bedroom apartment for sale in lavington
",Sarabi Realty Group,"
KSh 6,500,000
"
"
4 bedroom apartment for sale in Parklands
","

Parklands, Westlands

",-,"
4
","








4

","
Luxurious Apartment For Sale in Parklands
",Riverdale Properties,"
KSh 25,000,000
"
"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

","
40 m²
","
0
","








1

","
Fully Loaded Studio for sale in Kileleshwa
",Abode Realty,"
KSh 4,300,000
"
