,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price,property_price_currency,property_price_amount
0,4 ac land for sale in Kilimani,"Argwings kodhek, Kilimani, Dagoretti North",4 ac,-,-,4 ac land for sale in Kilimani,-,"KSh 1,600,000,000",KSh,1600000000.0
1,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,4,3 bedroom + DSQ apartment for sale in Lavington,Upper Deck Homes,"KSh 19,000,000",KSh,19000000.0
2,4 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,4,5,4 bedroom plus sq apartment for sale in lavingt...,Sarabi Realty Group,"KSh 17,000,000",KSh,17000000.0
3,2 bedroom apartment for sale in Kilimani,"KILIMANI, KILIMANI, Kilimani, Dagoretti North",108 m²,2,2,MODERN AND AFFORDABLE 2 BEDROOM FOR SALE,Round The Clock Homes,"KSh 8,800,000",KSh,8800000.0
4,3 bedroom apartment for sale in Rhapta Road,"Rhapta Road, Westlands",-,3,4,Rhapta Road 3 bedroom apartment for sale at 16....,Phillavilla,"KSh 16,500,000",KSh,16500000.0
5,3 bedroom apartment for sale in Ngong Road,"Ngong Road, Ngong Road",-,3,3,Ngong Road 3 bedroom apartment for sale at 13.5...,Phillavilla,"KSh 13,500,000",KSh,13500000.0
6,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,2,3,Kileleshwa 2 bedroom all-ensuite for sale at 14...,Phillavilla,"KSh 14,500,000",KSh,14500000.0
7,4 bedroom townhouse for sale in Spring Valley,"Spring Valley, Westlands",-,4,5,Spring Valley 4 Bedroom Townhouse plus Dsq for...,Phillavilla,"KSh 90,000,000",KSh,90000000.0
8,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,2,Lavington 3 bedroom apartment for sale at 13 Mi...,Phillavilla,"KSh 13,000,000",KSh,13000000.0
9,2 bedroom apartment for sale in Naivasha Road,"Naivasha Road, Dagoretti North",-,2,2,Naivasha road 2 bedroom for sale at 6.95M,Phillavilla,"KSh 6,950,000",KSh,6950000.0
10,3 bedroom apartment for sale in Mountain View,"Mountain View, Westlands",-,"3
 ",2,Waiyaki Way 3 bedroom for sale at 10M,Phillavilla,"KSh 10,000,000",KSh,10000000.0
11,1 bedroom apartment for sale in Kiambu Road,"Kitsuru (Mwimuto), Kiambu Road, Kiambu Road",-,1,1,1 bedroom Apartment for Sale,Edville Properties,"KSh 2,500,000",KSh,2500000.0
12,2 bedroom apartment for sale in Mountain View,"Mountain View, Westlands",-,2,2,Mountain View 2 bedroom apartment for sale at 9...,Phillavilla,"KSh 9,000,000",KSh,9000000.0
13,3 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,3,4,Westlands 3 bedroom apartment plus DSQ for sale...,Phillavilla,"KSh 24,000,000",KSh,24000000.0
14,3 bedroom townhouse for sale in Kiambu Road,"Kiambu Road, Kiambu Road",-,3,3,Kiambu Road 3 Bedroom Townhouse plus Dsq for sa...,Phillavilla,"KSh 28,000,000",KSh,28000000.0
15,2 bedroom apartment for sale in Highrise,"Highrise, Dagoretti South",-,2,1,Mbagathi Way 2 bedroom apartment for sale at 6....,Phillavilla,"KSh 6,500,000",KSh,6500000.0
16,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,2,Kileleshwa 3 bedroom apartment for sale at 14 M...,Phillavilla,"KSh 14,000,000",KSh,14000000.0
17,2 bedroom apartment for sale in Westlands Area,"General Mathenge, Westlands Area, Westlands",-,2,-,GREENVILLE GARDENS –GENERAL MATHENGE,Primofort Investment,"KSh 12,500,000",KSh,12500000.0
18,3 bedroom apartment for sale in Kilimani,"Northcote Apartments, Kilimani, Dagoretti North",558 m²,3,2,3 Bedroom Apartments With SQ for Sale at Nort...,Crystal Valuers LTD,"KSh 20,000,000",KSh,20000000.0
19,6 bedroom house for sale in Kitisuru,"Kitisuru, Westlands",-,6,6,A MAGNIFICENT RESIDENCE IN KITISURU,Ricville Properties,"KSh 150,000,000",KSh,150000000.0
20,1 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,1,1,Westlands 1 bedroom apartment for sale at 9.1Mi...,Phillavilla,"KSh 9,100,000",KSh,9100000.0
21,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",100 m²,2,2,2 BEDROOMS APARTMENT (READY FOR OCCUPATION) IN...,Abode Realty,"KSh 8,500,000",KSh,8500000.0
22,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,4,3 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 10,000,000",KSh,10000000.0
23,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,3,4,3 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 9,500,000",KSh,9500000.0
24,2 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,2,3,2 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 8,000,000",KSh,8000000.0
25,1 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,1,1,1 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 4,200,000",KSh,4200000.0
26,Furnished 4 bedroom apartment for sale in Southlands,"sand valley, Southlands, Langata",1 ac,4,5,HOUSE FOR RENT FOR SALE IN LANAGAT,UMATI HOMES LTD,"KSh 100,000,000",KSh,100000000.0
27,1 bedroom apartment for sale in Garden Estate,"Garden Estate, Roysambu",58 m²,2,2,"Beautiful 1, 2, 3 Bedroom Apartments For Sale i...",Azizi Realtors,"KSh 12,000,000",KSh,12000000.0
28,"4 bedroom house for sale in Loresho
 ","Loresho, Westlands",-,4,5,AN ARCHITECTURAL MASTERPIECE SITTING IN A PRIVA...,Ricville Properties,"KSh 105,000,000",KSh,105000000.0
29,Studio apartment for sale in Westlands Area,"Westlands Area, Westlands",-,0,1,Westlands Studio for Sale at 4.5Million,Phillavilla,"KSh 4,500,000",KSh,4500000.0
30,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",140 m²,2,2,2 Bedrooms apartment for sale,Abode Realty,"KSh 15,800,000",KSh,15800000.0
31,2 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,2,3,2 bedroom apartment for sale in lavington,Sarabi Realty Group,"KSh 6,500,000",KSh,6500000.0
32,4 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,4,4,Luxurious Apartment For Sale in Parklands,Riverdale Properties,"KSh 25,000,000",KSh,25000000.0
33,Studio apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",40 m²,0,1,Fully Loaded Studio for sale in Kileleshwa,Abode Realty,"KSh 4,300,000",KSh,4300000.0
34,3 bedroom apartment for sale in Kileleshwa,"laikipia road, Kileleshwa, Dagoretti North",-,3,3,3 br for sale in kileleshwa near kasuku centre,Nairobi Property,"KSh 10,500,000",KSh,10500000.0
35,3 bedroom apartment for sale in Kileleshwa,"Tabere Lane, Kileleshwa, Dagoretti North",126 m²,3,3,3 bedroom+DSQ-Alina Ridge,Wonder Properties,"KSh 11,000,000",KSh,11000000.0
36,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",99 m²,2,2,2 bedrooms apartment for sale,Abode Realty,"KSh 6,990,000",KSh,6990000.0
37,1 bedroom apartment for sale in Kileleshwa,"Gatundu close, Kileleshwa, Dagoretti North",55 m²,1,1,1 bedroom apartment in Kileleshwa,Abode Realty,"KSh 5,500,000",KSh,5500000.0
38,450 m² land for sale in Mombasa Road,"Konza, Mombasa Road, Mombasa Road",450 m²,-,-,Yuconn Plains Estate– Konza (50 x 100),Jaybee Properties,"KSh 680,000",KSh,680000.0
39,450 m² land for sale in Mombasa Road,"Konza, Mombasa Road, Mombasa Road",450 m²,-,-,Savannah Viewpoint – Konza (50 x 100),Jaybee Properties,"KSh 1,500,000",KSh,1500000.0
40,4998 ft² residential land for sale in Ruai,"Ruiru, Kamakis, Ruai, Ruai, Kasarani",5000 ft²,-,-,"Ruiru, 50 by 100 Court 24 Plots For Sale.",Kenya Homes,"KSh 650,000",KSh,650000.0
41,3200 ft² residential land for sale in Thika Road,"Tola, Ngoigwa, Thika Road, Thika Road",3200 ft²,-,-,Tola Ngoigwa Plots For Sale,Kenya Homes,"KSh 1,850,000",KSh,1850000.0
42,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",155 m²,3,3,3 BEDROOMS APARTMENT + DSQ IN KILELESHWA,Abode Realty,"KSh 16,000,000",KSh,16000000.0
43,Commercial property for sale in Mombasa Road,"Mombasa Road, Mombasa Road",-,-,-,"Mombasa Road 10,266 sqft Go-Down for sale at 11...",Phillavilla,"KSh 115,000,000",KSh,115000000.0
44,450 m² land for sale in Mombasa Road,"Konza, Mombasa Road, Mombasa Road",450 m²,-,-,Riverside Gardens – Konza (1/8 Acre Plots),Jaybee Properties,"KSh 1,500,000",KSh,1500000.0
45,Land for sale in Karen,"Karen, Langata",-,-,-,THE DEAL,AMAYA REALTORS,"KSh 310,000,000",KSh,310000000.0
46,3 bedroom apartment for sale in Valley Arcade,"Valley Arcade, Dagoretti North",-,3,2,3 Bedroom Apartment for sale in Valley Arcade.,Ring Kenya Ltd,"KSh 12,500,000",KSh,12500000.0
47,3 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,3,-,3bedroom apartment on sale in Westlands,Canaan Properties,"KSh 19,000,000",KSh,19000000.0
48,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North
 ",-,3,3,"BRAND NEW 3 BEDROOM APARTMENT WITH DSQ.
 ",Wilnas Property Ltd,"KSh 19,500,000",KSh,19500000.0
49,Commercial property for sale in Langata Area,"Kitengera road, Langata Area, Langata",-,-,-,Commercial property in langata for sale,Pemukika Agency,"KSh 35,000,000",KSh,35000000.0
50,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,2,-,2 Bedroom Apartment For sale,Property Boutique,"KSh 9,000,000",KSh,9000000.0
51,10 bedroom apartment for sale in Thika Road,"Alsops, Lucky Summer, Thika Road, Thika Road",450 m²,10,"10
 ",Flat for sale at Alsops,First Villas,"KSh 23,000,000",KSh,23000000.0
52,2 bedroom apartment for sale in Westlands Area,"Westlands Area, Westlands",-,2,-,Elite Residence 2Bed,VAAL Real Estate,"KSh 21,200,000",KSh,21200000.0
53,Land for sale in Nairobi West,"Nairobi West, Langata",-,-,-,¼ Acre for Sale in Nairobi West,Ring Kenya Ltd,"KSh 100,000,000",KSh,100000000.0
54,6968 m² commercial property for sale in Lavington,"Jacaranda Avenue, Lavington, Dagoretti North",6968 m²,-,-,Conference Facility For Sale In Lavington,Simkar Group Limited,"KSh 280,000,000",KSh,280000000.0
55,2 bedroom apartment for sale in Kileleshwa,"Gatundu Rd, Kileleshwa, Dagoretti North",95 m²,2,2,2 Bedroom Apartment for Sale in Kileleshwa,Sky Limits Ventures,"KSh 8,800,000",KSh,8800000.0
56,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,3,3 Bedroom Penthouse Apartment In Kileleshwa,Eden Heights Realty,"KSh 23,000,000",KSh,23000000.0
57,3 bedroom apartment for sale in Riverside,"Riverside Drive, Riverside, Westlands",-,3,4,3 Bedroom with DSQ for Sale in Riverside Nairob...,Sky Limits Ventures,"KSh 25,000,000",KSh,25000000.0
58,"0.2146 ac land for sale in Kilimani
 ","Jamuhuri Close, Off Ngong Road, Kilimani, Dagoretti North",-,-,-,"PRIME REDEVELOPMENT PLOT JAMHURI CLOSE, KILIMAN...",HomePlus Realtors Ltd,"KSh 75,000,000",KSh,75000000.0
59,4 bedroom apartment for sale in Lavington,"Off Argwings Khondek, Lavington, Dagoretti North",245 m²,4,5,4 BEDROOMS ALL ENSUITE WITH DSQ FOR SALE,Abode Realty,"KSh 20,000,000",KSh,20000000.0
60,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,4,3 bedroom apartment,GerryVille Homes,"KSh 16,500,000",KSh,16500000.0
61,2 bedroom apartment for sale in Kasarani Area,"Kasarani Area, Kasarani",-,2,2,2 Bedroom House for Sale on Kamiti road.,Ring Kenya Ltd,"KSh 7,000,000",KSh,7000000.0
62,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",100 m²,2,2,2 Bedroom Plus Dsq For Sale In Kilimani.,Ring Kenya Ltd,"KSh 10,000,000",KSh,10000000.0
63,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",140 m²,3,2,"NEW 3 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...",Splendor Holdings,"KSh 11,500,000",KSh,11500000.0
64,0.5 ac land for sale in Kiambu Road,"Kiambu Road, Kiambu Road",-,-,-,0.5 acres vacant land for sale in Kiambu Road -...,Pam Golding Properties,"KSh 25,000,000",KSh,25000000.0
65,4039 m² commercial land for sale in Kileleshwa,"Nyeri Road, Kileleshwa, Dagoretti North",4039 m²,-,-,1-Acre Plot For Sale in Kileleshwa,Simkar Group Limited,"KSh 235,000,000",KSh,235000000.0
66,3 bedroom apartment for sale in Kilimani,"Othaya Rd, Kilimani, Dagoretti North",-,3,4,Luxurious and Spacious 3 bedroom apartment in K...,Knitter Properties Kenya,"KSh 19,000,000",KSh,19000000.0
67,3 bedroom apartment for sale in Hurlingham,"Hurlingham, Dagoretti North",-,3,3,Exclusive Apartments of 3 Bedroom Apartments /D...,Wilnas Property Ltd,"KSh 28,000,000",KSh,28000000.0
68,3 bedroom apartment for sale in Kilimani,"Dennis Pritt, Kilimani, Dagoretti North",120 m²,3,2,Denis Gardens by Ever Forgarden Company Limited...,Ever Forgarden Company Limited,"KSh 10,200,000",KSh,10200000.0
69,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Nyeri Road, Kileleshwa, Dagoretti North",1451 ft²,2,2,The Marquis Apartments in Kileleshwa for SALE,Hayer One Group,"KSh 18,500,000",KSh,18500000.0
70,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,3,Alluring & Elegant 3 Bedroom Apartments,Olympia Gold Real Estate,"KSh 15,300,000",KSh,15300000.0
71,3 bedroom apartment for sale in Kileleshwa,"Nyeri road, Kileleshwa, Dagoretti North",2484 ft²,3,4,3 Bedroom - All Ensuite Apartment For sale in K...,Hayer One Group,"KSh 32,913,000",KSh,32913000.0
72,3 bedroom apartment for sale in Lavington,"Hatheru Road, Telagen Gardens, Lavington, Dagoretti North",-,3,-,3 Bed Apartment For Sale In Lavington,Coral Property International Ltd,"KSh 17,500,000",KSh,17500000.0
73,0.25 ac residential land for sale in Thika Road,"Kenyatta road- Karunguru Golf, Thika Road, Thika Road",-,-,-,Catchy Vacant land for sale,Property Point Urban Kenya,"KSh 5,500,000",KSh,5500000.0
74,1 bedroom apartment for sale in Kileleshwa,"kikambala, Kileleshwa, Dagoretti North",-,1,1,1 & 2 bedroom Apartment for Sale in Kileleshwa,Crystal Valuers LTD,"KSh 9,600,000",KSh,9600000.0
75,3 bedroom apartment for sale in Kilimani,"Kindaruma Road,, Kilimani, Dagoretti North",-,3,3,"3 BEDROOM APARTMENT FOR SALE IN KINDARUMA ROAD,...",Knight Frank Kenya,"KSh 23,000,000",KSh,23000000.0
76,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,-,3- bedroom and a detached servant quarter,Daresak Investments,"KSh 20,000,000",KSh,20000000.0
77,2 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",145 m²,2,3,2 BEDROOM PLUS DSQ FOR SALE IN LAVINGTON,Nuru Breeze Homes Realty Limited,"KSh 16,500,000",KSh,16500000.0
78,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",120 m²,2,2,"KILIMANI, NEW 2 BEDROOM APARTMENT + DSQ FOR SA...",Splendor Holdings,"KSh 9,000,000",KSh,9000000.0
79,4 bedroom apartment for sale in Kileleshwa,"Othaya Road, Kileleshwa, Dagoretti North",215 m²,4,4,4 Bedroom Apart For Sale in Othaya Road Kileles...,Apogee Realty Homes,"KSh 24,500,000",KSh,24500000.0
80,4 bedroom apartment for sale in Lavington,"Lavington, Lavington, Dagoretti North",200 m²,4,5,"4BEDROOMS,5 BATHROOMS, UNOBSTRUCTED VIEWS",Balis Properties,"KSh 16,000,000",KSh,16000000.0
81,4 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Kileleshwa, Dagoretti North",211 m²,4,5,4BR ALL ENSUITE PLUS DSQ,Balis Properties,"KSh 23,000,000",KSh,23000000.0
82,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",207 m²,3,3,"NEW 3 BEDROOM EXECUTIVE APARTMENT FOR SALE, IN...",Splendor Holdings,"KSh 16,500,000",KSh,16500000.0
83,2 bedroom apartment for sale in General Mathenge,"General Mathenge, Westlands",-,2,2,2 bedroom apartment for sale in Westlands - 3KE...,Pam Golding Properties,"KSh 18,400,000",KSh,18400000.0
84,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North
 ",-,3,-,3bdrm +sq,REALTY BORIS,"KSh 17,500,000",KSh,17500000.0
85,3 bedroom apartment for sale in Lavington,"Othaya road, Lavington, Dagoretti North",179 m²,3,3,3 Bedrooms all ensuite with DSQ for Sale,Abode Realty,"KSh 16,500,000",KSh,16500000.0
86,3 bedroom apartment for sale in Karen,"Karen, Langata",-,3,4,Executive 3 bedrooms green heights apartments,Joslink Property Group,"KSh 18,000,000",KSh,18000000.0
87,2 bedroom apartment for sale in Kileleshwa,"kangundo road, Kileleshwa, Dagoretti North",-,2,-,2 bedroom apartment for sale in Kileleshwa,Daresak Investments,"KSh 11,000,000",KSh,11000000.0
88,2 bedroom apartment for sale in Kileleshwa,"Othaya Road, Kileleshwa, Dagoretti North",135 m²,2,2,2 Bedroom Apartments For Sale in Kileleshwa,Apogee Realty Homes,"KSh 15,000,000",KSh,15000000.0
89,5 bedroom townhouse for sale in Lavington,"Convent Drive, Lavington, Dagoretti North",-,5,6,5 bedroom townhouse for sale in Lavington,Sky Limits Ventures,"KSh 85,000,000",KSh,85000000.0
90,3 bedroom apartment for sale in Parklands,"Parklands, Westlands",-,"3
 ",3,3 Bedroom Apartment for sale in parklands,Azizi Realtors,"KSh 23,000,000",KSh,23000000.0
91,2 bedroom apartment for sale in Kileleshwa,"Gatundu Road, Kileleshwa, Dagoretti North",-,2,2,"2 Bedroom Apartment, Kileleshwa",Mwalimu B & Co.,"KSh 9,000,000",KSh,9000000.0
92,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,3,-,Breathtaking 3bd apartment for sale in the Hear...,El Roi Properties,"KSh 13,950,000",KSh,13950000.0
93,Studio apartment for sale in Valley Arcade,"Valley Arcade, Valley Arcade, Dagoretti North",-,0,1,"Studio For Sale in Lavington, Valley Arcade",Sky Limits Ventures,"KSh 4,500,000",KSh,4500000.0
94,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,2,-,2bdrm apartment on sale,REALTY BORIS,"KSh 9,500,000",KSh,9500000.0
95,4 bedroom apartment for sale in Riverside,"Riverside, Westlands",640 m²,4,5,BEAUTIFUL AND EXTREMELY SPACIOUS 4 BEDROOM APAR...,A1 Properties Ltd,"KSh 90,000,000",KSh,90000000.0
96,2 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",-,2,2,Newly built 2 bedroom apartment for sale in lav...,Wilnas Property Ltd,"KSh 10,000,000",KSh,10000000.0
97,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,3,3,Brand new 3 bedroom apartment with Dsq,Wilnas Property Ltd,"KSh 23,000,000",KSh,23000000.0
98,3 bedroom apartment for sale in Loresho,"Loresho, Westlands",130 m²,3,2,Spectacular 3 Bedroomed Master Ensuite Apartme...,LIflac Properties,"KSh 11,400,000",KSh,11400000.0
99,4 bedroom apartment for sale in Westlands Area,"Raphta Road, Westlands Area, Westlands",-,4,5,4 bedroom penthouse apartment for sale in Westl...,Pam Golding Properties,"KSh 36,000,000",KSh,36000000.0
100,4 bedroom apartment for sale in Kilimani,"kilimani, kilimani, Kilimani, Dagoretti North",210 m²,4,5,4 BEDROOM PLUS SQ FOR SALE IN KILIMANI,Laser Property Services Ltd,"KSh 18,200,000",KSh,18200000.0
101,3 bedroom apartment for sale in Uthiru/Ruthimitu,"Uthiru/Ruthimitu, Dagoretti South",-,3,-,Spacious 3BR Apartments with SQ For Sale - Uth...,Pinnacle Valuers,"KSh 9,500,000",KSh,9500000.0
102,3 bedroom apartment for sale in Kileleshwa,"Othaya Rd, Kileleshwa, Dagoretti North",177 m²,3,4,Modern 3 BR + DSQ Apartment in Kileleshwa,Prima Properties Ke,"KSh 17,500,000",KSh,17500000.0
103,"1 bedroom apartment for sale in Waiyaki Way
 ","Waiyaki Way, Westlands",52 m²,1,1,1&2 Bedroom apartments for sale,B. Nyariki Properties,"KSh 3,250,000",KSh,3250000.0
104,3 bedroom apartment for sale in Runda,"Runda, Westlands",95 m²,3,2,A Worth Investment in a Zero Commute Amenity Dr...,El Roi Properties,"KSh 9,600,000",KSh,9600000.0
105,5 bedroom house for sale in Riverside,"Riverside Drive, Westlands, Nairobi, Riverside, Westlands",465 m²,5,6,"5 bed Townhouse, Riverside Drive",Fit Property,"KSh 60,000,000",KSh,60000000.0
106,5 bedroom townhouse for sale in Lavington,"Lavington Nairobi, Lavington, Dagoretti North",-,5,6,A 5bdrm townhouse for sale in lavington,Spacetech Enterprises,"KSh 80,000,000",KSh,80000000.0
107,3 bedroom apartment for sale in General Mathenge,"General Mathenge, Westlands",-,3,3,3 bedroom apartment for sale in Westlands - 3KE...,Pam Golding Properties,"KSh 25,400,000",KSh,25400000.0
108,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",130 m²,2,2,"KILIMANI, NEW EXECUTIVE 2 BEDROOM APARTMENT +...",Splendor Holdings,"KSh 10,500,000",KSh,10500000.0
109,3 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",13 m²,3,2,3 Bedroom Plus Dsq For Sale In Kilimani,Ring Kenya Ltd,"KSh 13,500,000",KSh,13500000.0
110,4 bedroom apartment for sale in Lavington,"hatheru road, Lavington, Dagoretti North",-,4,5,4 bedroom with sq all ensuite apartment for sal...,Nairobi Property,"KSh 22,000,000",KSh,22000000.0
111,3 bedroom apartment for sale in Kileleshwa,"101w, Kileleshwa Estate Near Kasuku Centre, Kileleshwa, Dagoretti North",2308 ft²,3,3,Immaculate and beautiful three bedroom apartmen...,Ace Realtors Limited,"KSh 22,500,000",KSh,22500000.0
112,2 bedroom apartment for sale in Kilimani,"Kilimani, Kilimani, Dagoretti North",112 m²,2,2,MODERN 2BR APARTMENT,Balis Properties,"KSh 13,000,000",KSh,13000000.0
113,5 bedroom apartment for sale in Kileleshwa,"Oloitoktok Road, Kileleshwa, Dagoretti North",320 m²,5,5,LUXURIUS 5 BEDROOMS ALL ENSUITE+DSQ,Peech Limited,"KSh 29,500,000",KSh,29500000.0
114,3 bedroom apartment for sale in Kileleshwa,"Elina Residence, Mandere Road, Kileleshwa, Dagoretti North",2200 ft²,3,4,3 Bedroom Apartments & 4 Bedroom Penthouses for...,Crystal Valuers LTD,"KSh 22,000,000",KSh,22000000.0
115,3 bedroom apartment for sale in Kilimani,"Yaya Center, Kilimani, Dagoretti North",-,3,4,3 bedroom apartment in Kilimani near Yaya Cente...,Knitter Properties Kenya,"KSh 13,500,000
 ",KSh,13500000.0
116,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",143 m²,2,3,2 Bedroom Apartment for Sale in Kileleshwa Nair...,Sky Limits Ventures,"KSh 15,000,000",KSh,15000000.0
117,3 bedroom apartment for sale in Kilimani,"Kindaruma Rd, Kilimani, Dagoretti North",156 m²,3,3,3 BR (2 en suite + SQ) Apartment (Ready for Occ...,Prima Properties Ke,"KSh 15,950,000",KSh,15950000.0
118,4 bedroom apartment for sale in Kilimani,"kilimani, kilimani, Kilimani, Dagoretti North",-,4,4,Brand New apt 4bd all ensuite dsq pool gym bore...,Prudential Green Ville,"KSh 17,000,000",KSh,17000000.0
119,Residential land for sale in Lower Kabete,"Lower Kabete, Westlands",-,-,-,SERVICED RESIDENTIAL PLOTS FOR SALE IN LOWER KA...,-,"KSh 3,600,000",KSh,3600000.0
120,3 bedroom apartment for sale in Parklands,"Nairobi, Parklands, Westlands",3000 ft²,3,3,3 Bedroom All En-suite Unfurnished Apartment Fo...,Coral Property International Ltd,"KSh 36,000,000",KSh,36000000.0
121,5 bedroom house for sale in Karen,"Kerarapon Rd, Karen, Langata",-,5,6,5 BEDROOM ULTRAMODERN TOWNHOUSE FOR SALE IN MUH...,Malazo Realtors,"KSh 73,500,000",KSh,73500000.0
122,4 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",300 m²,4,4,Amazing And Spacious 4 Bedroom Apartments + Sq,A1 Properties Ltd,"KSh 28,000,000",KSh,28000000.0
123,2 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",-,2,2,2 bedroom apartment for sale in Kileleshwa,Upper Deck Homes,"KSh 8,500,000",KSh,8500000.0
124,1 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,1,1,1 Bedroom House for Sale In Kilimani with a Stu...,Ring Kenya Ltd,"KSh 7,000,000",KSh,7000000.0
125,3 bedroom apartment for sale in Pangani,"Pangani, Ring Road, Pangani, Starehe",-,3,3,Affordable Apartments 3 Bedroom Duplexes for sa...,Regent Management Ltd,"KSh 10,000,000",KSh,10000000.0
126,3 bedroom apartment for sale in Kileleshwa,"othaya road, Kileleshwa, Dagoretti North",-,3,2,2 bedroom Plus DSQ for Sale in Kileleshwa,Zenith Homes Management Ltd,"KSh 13,500,000",KSh,13500000.0
127,2 bedroom apartment for sale in Dennis Pritt,"Dennis Pritt, Dagoretti North",-,2,2,Kilimani 2bedroom plus Dsq on sale off Dennis...,Canaan Properties,"KSh 10,000,000",KSh,10000000.0
128,3 bedroom apartment for sale in Kileleshwa,"Kileleshwa, Dagoretti North",177 m²,3,4,3 Bedroom All En-suite Plus DSQ For Sale in Kil...,Nuru Breeze Homes Realty Limited,"KSh 16,500,000",KSh,16500000.0
129,379 m² office for sale in Westlands Area,"Westlands Area, Westlands",379 m²,-,-,379 m2 Commercial office for-sale in Westlands...,Pam Golding Properties,"KSh 40,330,000",KSh,40330000.0
130,2 bedroom apartment for sale in Kilimani,"Kilimani, Dagoretti North",-,2,-,2bdrm with quality finishing,REALTY BORIS,"KSh 15,500,000",KSh,15500000.0
131,4 bedroom apartment for sale in General Mathenge,"General Mathenge, Westlands",-,4,4,4 bedroom apartment for sale in Westlands - 3KE...,Pam Golding Properties,"KSh 58,000,000",KSh,58000000.0
132,3 bedroom apartment for sale in Kileleshwa,"Gatundu Close, Kileleshwa, Dagoretti North",165 m²,3,3,ELEGANT 3 BEDROOM (ALL ENSUITE + DSQ) APARTMENT...,Antel Ltd,"KSh 22,000,000",KSh,22000000.0
133,3 bedroom apartment for sale in Lavington,"Lavington, Dagoretti North",230 m²,3,4,"3 Bedroom Apartment / Flat for sale in Lavingto...
 ",Kenya Classic Homes,"KSh 21,000,000",KSh,21000000.0
134,5 bedroom house for sale in Thika Road,"Mirema Drive, Thika Road, Thika Road",-,5,4,5 bedroom house along Mirema Drive,Edlon Group Limited,"KSh 23,500,000",KSh,23500000.0
135,2880 m² office for sale in Cbd,"Cbd, Starehe",2880 m²,-,-,"BLOCK OF OFFICE FOR SALE, KEMU HUB TOWERS-NAIRO...",Danco Limited,"KSh 800,000,000",KSh,800000000.0
